case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
1905,Accepted-In Progress,Martin,2012/04/10 13:37:14.000,High,se,Org line C,C_6,PROD802,Sweden
1905,Queued-Awaiting Assignment,Martin,2012/04/10 13:44:34.000,High,se,Org line C,C_6,PROD802,Sweden
1905,Accepted-In Progress,Pascal,2012/04/10 14:09:18.000,High,se,Org line C,C_6,PROD802,Sweden
1905,Completed-Closed,Pascal,2012/04/10 14:41:51.000,High,se,Org line C,C_6,PROD802,Sweden
835,Accepted-In Progress,Frederic,2012/01/05 13:27:48.000,Medium,fr,Org line C,E_6,PROD643,France
835,Completed-Closed,Frederic,2012/05/14 08:42:53.000,Medium,fr,Org line C,E_6,PROD643,France
1206,Accepted-In Progress,Suzanne,2012/03/09 18:44:11.000,Major,se,Org line V2,,PROD615,Sweden
1206,Completed-Closed,Suzanne,2012/04/11 10:59:01.000,Major,se,Org line V2,,PROD615,Sweden
2240,Accepted-In Progress,Rakesh,2012/06/08 12:06:15.000,High,se,Org line C,E_10,PROD659,Sweden
2240,Queued-Awaiting Assignment,Rakesh,2012/06/08 12:07:50.000,High,se,Org line C,E_10,PROD659,Sweden
2240,Accepted-In Progress,Manisha,2012/06/08 12:19:22.000,High,se,Org line C,E_10,PROD659,Sweden
2240,Queued-Awaiting Assignment,Praveen,2012/06/08 12:31:24.000,High,se,Org line C,E_10,PROD659,Sweden
2240,Queued-Awaiting Assignment,Martin,2012/06/08 13:23:16.000,High,se,Org line C,C_6,PROD659,Sweden
2129,Accepted-In Progress,Anup,2012/05/24 15:24:01.000,Medium,in,Org line C,E_8,PROD597,INDIA
1040,Accepted-In Progress,Aditi,2012/02/10 09:47:38.000,Medium,in,Org line C,E_10,PROD802,Sweden
1040,Accepted-Wait,Aditi,2012/02/10 10:03:08.000,Medium,in,Org line C,E_10,PROD802,Sweden
1040,Completed-Closed,Aditi,2012/02/17 14:38:15.000,Medium,in,Org line C,E_10,PROD802,Sweden
1415,Accepted-In Progress,Praveen,2012/04/30 05:47:41.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Queued-Awaiting Assignment,Praveen,2012/04/30 05:55:51.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Accepted-In Progress,Abhinav,2012/04/30 06:10:57.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Queued-Awaiting Assignment,Martin,2012/04/30 06:13:34.000,High,in,Org line C,C_6,PROD802,Sweden
1415,Accepted-In Progress,Martin,2012/04/30 10:30:38.000,High,in,Org line C,C_6,PROD802,Sweden
1415,Queued-Awaiting Assignment,Rakesh,2012/04/30 10:31:32.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Accepted-In Progress,Tarun,2012/04/30 10:36:03.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Queued-Awaiting Assignment,Jonas,2012/05/07 12:35:33.000,High,in,Org line C,C_6,PROD802,Sweden
1415,Accepted-In Progress,Joakim,2012/05/07 13:16:01.000,High,in,Org line C,C_6,PROD802,Sweden
1415,Queued-Awaiting Assignment,Rakesh,2012/05/07 13:16:46.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Accepted-In Progress,Anurag,2012/05/07 13:19:43.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Accepted-In Progress,Tarun,2012/05/07 14:01:26.000,High,in,Org line C,E_10,PROD802,Sweden
1415,Completed-Closed,Tarun,2012/05/07 15:40:44.000,High,in,Org line C,E_10,PROD802,Sweden
2088,Accepted-In Progress,Bhaskar,2012/05/21 11:39:28.000,High,se,Org line C,E_5,PROD802,INDIA
2088,Queued-Awaiting Assignment,Bhaskar,2012/05/21 11:47:57.000,High,se,Org line C,E_5,PROD802,INDIA
2088,Queued-Awaiting Assignment,Praveen,2012/05/21 12:17:16.000,High,se,Org line C,E_10,PROD802,Sweden
2088,Queued-Awaiting Assignment,Martin,2012/05/23 13:33:34.000,High,se,Org line C,C_6,PROD802,Sweden
143,Accepted-In Progress,Carolyn,2010/08/30 15:35:45.000,Medium,us,Org line G3,,PROD96,USA
143,Queued-Awaiting Assignment,Carolyn,2010/08/30 15:37:18.000,Medium,us,Org line G3,,PROD96,USA
143,Accepted-In Progress,Kannan,2010/08/30 15:45:02.000,Medium,us,Org line G3,,PROD96,Sweden
143,Accepted-Assigned,Carolyn,2010/08/30 15:45:11.000,Medium,us,Org line G3,,PROD96,USA
143,Accepted-In Progress,Ewa,2012/02/04 10:47:07.000,Medium,us,Org line G3,,PROD96,POLAND
143,Completed-Closed,Ewa,2012/04/13 12:44:53.000,Medium,us,Org line G3,,PROD96,POLAND
569,Accepted-In Progress,M�rten,2011/10/14 11:25:44.000,Medium,se,Org line C,C_6,PROD660,Sweden
569,Queued-Awaiting Assignment,M�rten,2011/10/14 11:28:14.000,Medium,se,Org line C,C_6,PROD660,Sweden
569,Accepted-Assigned,Johan,2011/10/14 11:30:00.000,Medium,se,Org line C,C_6,PROD660,Sweden
569,Accepted-In Progress,Erik,2012/02/09 09:51:47.000,Medium,se,Org line C,C_6,PROD660,Sweden
569,Accepted-Wait,Erik,2012/02/13 16:35:34.000,Medium,se,Org line C,C_6,PROD660,Sweden
569,Completed-Closed,Erik,2012/03/23 14:42:37.000,Medium,se,Org line C,C_6,PROD660,Sweden
236,Accepted-In Progress,Brijesh,2011/02/02 09:17:45.000,Medium,se,Org line C,E_10,PROD154,Sweden
236,Queued-Awaiting Assignment,Brijesh,2011/02/02 12:55:48.000,Medium,se,Org line C,E_10,PROD154,Sweden
236,Queued-Awaiting Assignment,Martin,2011/02/03 10:33:47.000,Medium,se,Org line C,C_6,PROD154,Sweden
236,Accepted-In Progress,Joachim,2011/02/04 13:27:44.000,Medium,se,Org line C,C_6,PROD154,Belgium
236,Accepted-In Progress,Joachim,2011/02/04 13:27:55.000,Medium,se,Org line C,C_6,PROD154,Belgium
236,Accepted-Wait,Joachim,2011/02/04 13:34:33.000,Medium,se,Org line C,C_6,PROD154,Belgium
236,Queued-Awaiting Assignment,Olivier,2011/09/13 17:53:00.000,Medium,se,Org line C,C_6,PROD154,France
236,Accepted-In Progress,Cyril,2011/09/15 10:13:21.000,Medium,se,Org line C,C_6,PROD154,France
236,Queued-Awaiting Assignment,Jonas,2011/09/15 10:16:36.000,Medium,se,Org line C,C_6,PROD154,Sweden
236,Queued-Awaiting Assignment,Olivier,2011/09/16 12:27:06.000,Medium,se,Org line C,C_6,PROD154,France
236,Accepted-Assigned,Bruno,2011/11/23 17:44:01.000,Medium,se,Org line C,C_6,PROD154,Brazil
236,Accepted-Assigned,Robert,2011/11/28 13:20:25.000,Medium,se,Org line C,C_6,PROD154,USA
236,Queued-Awaiting Assignment,Britt,2012/02/02 16:48:22.000,Medium,se,Org line A2,A2_1,PROD154,Sweden
236,Accepted-In Progress,Britt,2012/02/06 10:26:00.000,Medium,se,Org line A2,A2_1,PROD154,Sweden
236,Accepted-Wait,Britt,2012/02/06 12:32:58.000,Medium,se,Org line A2,A2_1,PROD154,Sweden
236,Completed-Closed,Britt,2012/03/14 13:52:06.000,Medium,se,Org line A2,A2_1,PROD154,Sweden
1647,Accepted-In Progress,Ann-Charlotte,2011/10/06 02:09:03.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Queued-Awaiting Assignment,Ann-Charlotte,2011/10/06 02:22:29.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Accepted-In Progress,Mats,2011/10/06 10:17:16.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Queued-Awaiting Assignment,Martin,2011/10/06 10:17:30.000,Medium,se,Org line C,C_6,PROD802,Sweden
1647,Queued-Awaiting Assignment,Praveen,2011/10/25 15:10:44.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Queued-Awaiting Assignment,Ann-Charlotte,2011/10/25 15:11:48.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Accepted-In Progress,Mats,2011/10/25 15:13:13.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Completed-Closed,Mats,2011/10/25 15:14:37.000,Medium,se,Org line C,E_10,PROD802,Sweden
1647,Accepted-In Progress,Mats,2011/10/28 16:00:48.000,Medium,se,Org line C,E_10,PROD802,Sweden
1078,Accepted-In Progress,Lisbeth,2012/02/15 16:58:48.000,Medium,se,Org line A2,A2_5,PROD320,Sweden
1078,Completed-Closed,Lisbeth,2012/04/16 11:58:44.000,Medium,se,Org line A2,A2_5,PROD320,Sweden
1992,Completed-Closed,Maria,2012/05/09 17:27:42.000,Medium,se,Org line A2,A2_4,PROD591,Sweden
1581,Accepted-In Progress,Roland,2011/04/11 15:56:28.000,Low,se,Org line G4,,PROD374,Sweden
1581,Accepted-Assigned,Roland,2011/12/13 10:21:26.000,Low,se,Org line G4,,PROD374,Sweden
1581,Accepted-Wait,Roland,2012/02/08 22:09:00.000,Low,se,Org line G4,,PROD374,Sweden
1581,Completed-Closed,Roland,2012/03/26 09:27:45.000,Low,se,Org line G4,,PROD374,Sweden
74,Accepted-In Progress,Carolyn,2010/04/14 11:27:54.000,Medium,us,Org line G3,,PROD98,USA
74,Queued-Awaiting Assignment,Carolyn,2010/04/14 11:47:49.000,Medium,us,Org line G3,,PROD98,USA
74,Accepted-In Progress,Niklas,2010/04/14 11:47:50.000,Medium,us,Org line A2,A2_2,PROD98,Sweden
74,Queued-Awaiting Assignment,Carolyn,2010/04/14 11:54:25.000,Medium,us,Org line G3,,PROD98,USA
74,Accepted-In Progress,Naga,2010/04/14 19:58:53.000,Medium,us,Org line G3,,PROD98,Sweden
74,Accepted-Assigned,Carolyn,2010/04/14 20:09:15.000,Medium,us,Org line G3,,PROD98,USA
74,Accepted-In Progress,Ewa,2012/01/04 16:55:26.000,Medium,us,Org line G3,,PROD98,POLAND
74,Completed-Closed,Ewa,2012/01/30 14:05:58.000,Medium,us,Org line G3,,PROD98,POLAND
1299,Accepted-In Progress,Marlene,2012/03/30 11:48:22.000,Low,se,Org line G4,,PROD32,Sweden
1299,Completed-Closed,Marlene,2012/03/30 11:49:09.000,Low,se,Org line G4,,PROD32,Sweden
359,Accepted-In Progress,Ioannis,2011/06/08 11:44:43.000,Medium,se,Org line V2,,PROD615,Sweden
359,Accepted-Wait,Ioannis,2011/06/08 11:46:39.000,Medium,se,Org line V2,,PROD615,Sweden
359,Accepted-In Progress,Ioannis,2012/01/11 14:23:37.000,Medium,se,Org line V2,,PROD615,Sweden
359,Completed-Closed,Ioannis,2012/02/02 23:21:34.000,Medium,se,Org line V2,,PROD615,Sweden
760,Accepted-In Progress,Bikshamaiah,2011/12/13 09:52:25.000,Low,in,Org line C,E_8,PROD597,Sweden
760,Completed-Closed,Bikshamaiah,2012/04/30 17:41:11.000,Low,in,Org line C,E_8,PROD597,Sweden
1682,Accepted-In Progress,B�rje,2011/11/18 08:28:00.000,Low,se,Org line C,C_1,PROD153,Sweden
1682,Accepted-Wait,B�rje,2011/12/27 14:47:10.000,Low,se,Org line C,C_1,PROD153,Sweden
1682,Completed-Closed,B�rje,2012/01/03 10:49:38.000,Low,se,Org line C,C_1,PROD153,Sweden
1595,Accepted-In Progress,Katarina,2011/05/16 15:09:56.000,Medium,se,Org line G4,,PROD374,Sweden
1595,Completed-Closed,Katarina,2012/02/01 16:50:06.000,Medium,se,Org line G4,,PROD374,Sweden
1933,Queued-Awaiting Assignment,Rakesh,2012/05/01 14:55:13.000,High,se,Org line C,E_10,PROD488,Sweden
111,Accepted-In Progress,Carolyn,2010/06/09 11:45:16.000,Medium,us,Org line G3,,PROD96,USA
111,Queued-Awaiting Assignment,Carolyn,2010/06/09 11:58:40.000,Medium,us,Org line G3,,PROD96,USA
111,Accepted-In Progress,Kannan,2010/06/09 20:01:33.000,Medium,us,Org line G3,,PROD96,Sweden
111,Accepted-Assigned,Carolyn,2010/06/09 20:01:38.000,Medium,us,Org line G3,,PROD96,USA
111,Queued-Awaiting Assignment,Hannes,2011/04/08 13:57:15.000,Medium,us,Org line A2,A2_2,PROD96,Sweden
111,Accepted-Assigned,Y,2011/04/08 13:57:49.000,Medium,us,Org line A2,A2_2,PROD96,Sweden
111,Accepted-Assigned,Valerie,2011/04/08 15:30:45.000,Medium,us,Org line A2,A2_2,PROD96,France
111,Queued-Awaiting Assignment,Carolyn,2011/11/15 09:38:00.000,Medium,us,Org line G3,,PROD96,USA
111,Accepted-In Progress,Ewa,2012/02/04 09:13:38.000,Medium,us,Org line G3,,PROD96,POLAND
111,Completed-Closed,Ewa,2012/02/04 09:18:05.000,Medium,us,Org line G3,,PROD96,POLAND
432,Accepted-In Progress,Rodrigo,2011/08/09 18:06:57.000,Medium,se,Org line B,E_10,PROD253,Brazil
432,Accepted-In Progress,Rodrigo,2011/08/09 18:22:29.000,Medium,se,Org line B,E_10,PROD253,Brazil
432,Queued-Awaiting Assignment,Tomas,2011/08/09 20:46:45.000,Medium,se,Org line C,C_6,PROD253,Sweden
432,Accepted-In Progress,Rodrigo,2011/08/11 19:23:43.000,Medium,se,Org line B,E_10,PROD253,Brazil
432,Queued-Awaiting Assignment,Tomas,2011/08/11 19:51:34.000,Medium,se,Org line C,C_6,PROD253,Sweden
432,Accepted-In Progress,Tomas,2011/10/20 14:52:40.000,Medium,se,Org line C,C_6,PROD253,Sweden
432,Accepted-Wait,Tomas,2011/10/20 14:54:16.000,Medium,se,Org line C,C_6,PROD253,Sweden
432,Completed-Closed,Tomas,2012/04/24 13:58:43.000,Medium,se,Org line C,C_6,PROD253,Sweden
1669,Accepted-In Progress,B�rje,2011/10/28 16:32:35.000,Major,se,Org line C,C_1,PROD153,Sweden
1669,Completed-Closed,B�rje,2012/01/03 12:19:56.000,Major,se,Org line C,C_1,PROD153,Sweden
1172,Accepted-In Progress,Christy,2012/03/05 23:07:18.000,Major,us,Org line C,,PROD154,USA
1172,Completed-Closed,Christy,2012/05/24 15:53:30.000,Major,us,Org line C,,PROD154,USA
1190,Accepted-In Progress,Kristina,2012/03/07 14:24:22.000,Medium,se,Org line A2,A2_3,PROD231,Sweden
1190,Completed-Closed,Kristina,2012/04/11 14:36:11.000,Medium,se,Org line A2,A2_3,PROD231,Sweden
1476,Accepted-In Progress,Hineesh,2012/05/23 08:18:50.000,High,us,Org line C,E_4,PROD166,INDIA
1476,Completed-Closed,Hineesh,2012/05/29 06:43:36.000,High,us,Org line C,E_4,PROD166,INDIA
594,Accepted-In Progress,Ian,2011/10/24 09:11:07.000,Medium,gb,Org line A2,A2_1,PROD236,United Kingdom
594,Accepted-Wait,Ian,2011/10/24 09:14:00.000,Medium,gb,Org line A2,A2_1,PROD236,United Kingdom
594,Accepted-In Progress,Andrew,2012/05/04 17:01:15.000,Medium,gb,Org line A2,A2_1,PROD236,United Kingdom
594,Completed-Closed,Andrew,2012/05/04 17:01:17.000,Medium,gb,Org line A2,A2_1,PROD236,United Kingdom
490,Accepted-In Progress,Lena,2011/09/12 16:35:54.000,Medium,se,Org line A2,A2_3,PROD680,Sweden
490,Accepted-Wait,Lena,2011/12/27 10:48:46.000,Medium,se,Org line A2,A2_3,PROD680,Sweden
490,Completed-Closed,Lena,2012/01/12 10:24:21.000,Medium,se,Org line A2,A2_3,PROD680,Sweden
2036,Accepted-In Progress,Kjell,2012/05/15 11:16:00.000,Low,se,Org line C,E_7,PROD673,Sweden
2149,Queued-Awaiting Assignment,Mohsin,2012/05/25 16:25:26.000,High,in,Org line C,E_5,PROD745,INDIA
2149,Accepted-In Progress,Mohsin,2012/05/28 08:59:19.000,High,in,Org line C,E_5,PROD745,INDIA
2149,Accepted-Wait,Mohsin,2012/05/28 09:05:43.000,High,in,Org line C,E_5,PROD745,INDIA
2149,Queued-Awaiting Assignment,Peter,2012/05/28 10:48:40.000,High,in,Org line C,E_1,PROD745,Belgium
2149,Accepted-In Progress,Mohsin,2012/05/28 10:49:42.000,High,in,Org line C,E_5,PROD745,INDIA
2149,Accepted-Wait,Mohsin,2012/05/28 10:51:18.000,High,in,Org line C,E_5,PROD745,INDIA
1596,Accepted-In Progress,Roland,2011/05/19 23:28:42.000,Low,se,Org line G4,,PROD374,Sweden
1596,Accepted-Wait,Roland,2011/10/27 13:59:32.000,Low,se,Org line G4,,PROD374,Sweden
1596,Completed-Closed,Roland,2012/02/08 22:43:06.000,Low,se,Org line G4,,PROD374,Sweden
1345,Accepted-In Progress,Dieter,2012/04/10 14:32:50.000,Medium,be,Org line C,E_1,PROD636,Belgium
1345,Completed-Closed,Dieter,2012/05/11 11:03:56.000,Medium,be,Org line C,E_1,PROD636,Belgium
2114,Accepted-In Progress,Christoffer,2012/05/23 16:43:46.000,Low,se,Org line G4,,PROD412,Sweden
141,Accepted-In Progress,Carolyn,2010/08/19 08:24:05.000,Medium,us,Org line G3,,PROD98,USA
141,Queued-Awaiting Assignment,Carolyn,2010/08/19 08:27:30.000,Medium,us,Org line G3,,PROD98,USA
141,Accepted-In Progress,Kannan,2010/08/20 17:02:07.000,Medium,us,Org line G3,,PROD98,Sweden
141,Accepted-Assigned,Carolyn,2010/08/20 17:02:16.000,Medium,us,Org line G3,,PROD98,USA
141,Accepted-In Progress,Ewa,2012/01/04 16:58:37.000,Medium,us,Org line G3,,PROD98,POLAND
141,Completed-Closed,Ewa,2012/01/04 16:59:08.000,Medium,us,Org line G3,,PROD98,POLAND
565,Accepted-In Progress,Cyrille,2011/10/13 02:10:56.000,High,in,Org line C,E_8,PROD476,France
565,Queued-Awaiting Assignment,Cyrille,2011/10/13 03:29:08.000,High,in,Org line C,E_8,PROD476,France
565,Accepted-In Progress,Karthick,2011/10/18 14:37:39.000,High,in,Org line C,E_8,PROD476,INDIA
565,Accepted-Wait,Karthick,2011/10/18 14:37:49.000,High,in,Org line C,E_8,PROD476,INDIA
565,Accepted-Assigned,Mahesh,2011/10/18 14:47:13.000,High,in,Org line C,E_8,PROD476,INDIA
565,Accepted-In Progress,Mahesh,2012/01/11 08:32:28.000,High,in,Org line C,E_8,PROD476,INDIA
565,Completed-Closed,Mahesh,2012/01/11 08:33:20.000,High,in,Org line C,E_8,PROD476,INDIA
2001,Accepted-In Progress,Frederic,2012/05/10 10:36:55.000,Medium,fr,Org line C,,PROD348,France
2001,Accepted-In Progress,Frederic,2012/05/22 14:40:20.000,Medium,fr,Org line C,,PROD348,France
1410,Accepted-In Progress,Niklas,2012/04/28 12:17:13.000,Low,se,Org line C,E_9,PROD673,Sweden
1410,Accepted-Assigned,Niklas,2012/04/28 12:19:06.000,Low,se,Org line C,E_9,PROD673,Sweden
1410,Accepted-In Progress,Niklas,2012/05/04 07:46:07.000,Low,se,Org line C,E_9,PROD673,Sweden
1410,Completed-Closed,Niklas,2012/05/04 07:48:07.000,Low,se,Org line C,E_9,PROD673,Sweden
222,Accepted-In Progress,Agneta,2011/01/13 10:01:34.000,Medium,se,Org line A2,A2_3,PROD831,Sweden
222,Completed-Closed,Agneta,2012/01/10 12:24:45.000,Medium,se,Org line A2,A2_3,PROD831,Sweden
519,Accepted-In Progress,Dag,2011/09/26 16:42:48.000,Medium,gb,Org line C,C_3,PROD348,Sweden
519,Accepted-In Progress,Dag,2011/11/24 09:18:50.000,Medium,gb,Org line C,C_3,PROD348,Sweden
519,Completed-Closed,Dag,2012/02/15 12:39:07.000,Medium,gb,Org line C,C_3,PROD348,Sweden
71,Accepted-In Progress,Carolyn,2010/04/13 09:38:30.000,Medium,us,Org line G3,,PROD98,USA
71,Queued-Awaiting Assignment,Carolyn,2010/04/13 09:44:30.000,Medium,us,Org line G3,,PROD98,USA
71,Accepted-In Progress,Kannan,2010/04/13 14:59:01.000,Medium,us,Org line G3,,PROD98,Sweden
71,Accepted-Assigned,Carolyn,2010/04/13 14:59:07.000,Medium,us,Org line G3,,PROD98,USA
71,Accepted-In Progress,Ewa,2012/01/09 11:25:49.000,Medium,us,Org line G3,,PROD98,POLAND
71,Completed-Closed,Ewa,2012/01/09 11:25:51.000,Medium,us,Org line G3,,PROD98,POLAND
37,Accepted-In Progress,Ann,2010/01/25 07:44:36.000,Low,se,Org line A2,A2_3,PROD40,Sweden
37,Accepted-Assigned,Ann,2011/12/16 10:26:27.000,Low,se,Org line A2,A2_3,PROD40,Sweden
37,Accepted-Wait,Ann,2012/03/30 13:09:18.000,Low,se,Org line A2,A2_3,PROD40,Sweden
37,Completed-Closed,Ann,2012/03/30 13:24:18.000,Low,se,Org line A2,A2_3,PROD40,Sweden
23,Queued-Awaiting Assignment,Ingela,2009/11/09 16:38:14.000,Medium,se,Org line V2,,PROD42,Sweden
23,Accepted-In Progress,Ingela,2009/11/24 09:41:50.000,Medium,se,Org line V2,,PROD42,Sweden
23,Accepted-Wait,Ingela,2010/09/10 10:45:16.000,Medium,se,Org line V2,,PROD42,Sweden
23,Accepted-In Progress,Ingela,2011/03/28 11:52:46.000,Medium,se,Org line V2,,PROD42,Sweden
23,Accepted-Wait,Ingela,2012/01/04 15:53:26.000,Medium,se,Org line V2,,PROD42,Sweden
23,Completed-Closed,Ingela,2012/04/13 13:41:36.000,Medium,se,Org line V2,,PROD42,Sweden
2038,Accepted-In Progress,Ian,2012/05/15 15:09:47.000,High,gb,Org line A2,A2_1,PROD236,United Kingdom
2038,Accepted-In Progress,Ian,2012/05/16 11:08:10.000,High,gb,Org line A2,A2_1,PROD236,United Kingdom
2038,Accepted-Assigned,Ian,2012/05/16 11:24:45.000,High,gb,Org line A2,A2_1,PROD236,United Kingdom
1422,Accepted-In Progress,Lisbeth,2012/05/03 14:03:32.000,Low,se,Org line A2,A2_5,PROD461,Sweden
1422,Completed-Closed,Lisbeth,2012/05/07 09:19:38.000,Low,se,Org line A2,A2_5,PROD461,Sweden
977,Accepted-In Progress,Amar,2012/02/01 13:50:00.000,Low,in,Org line C,E_4,PROD325,INDIA
977,Accepted-Assigned,Amar,2012/02/01 13:51:44.000,Low,in,Org line C,E_4,PROD325,INDIA
977,Completed-Closed,Amar,2012/03/13 20:08:32.000,Low,in,Org line C,E_4,PROD325,INDIA
824,Accepted-In Progress,Robert,2011/12/30 00:45:55.000,High,us,Org line C,E_4,PROD793,USA
824,Accepted-Wait,Robert,2011/12/30 00:47:40.000,High,us,Org line C,E_4,PROD793,USA
824,Accepted-Wait,Robert,2011/12/30 00:49:46.000,High,us,Org line C,E_4,PROD793,USA
824,Queued-Awaiting Assignment,Robert,2012/01/24 09:38:12.000,High,us,Org line C,E_4,PROD793,USA
824,Accepted-In Progress,Garima,2012/01/25 09:53:18.000,High,us,Org line C,E_5,PROD793,INDIA
824,Accepted-Wait,Garima,2012/01/25 10:21:00.000,High,us,Org line C,E_5,PROD793,INDIA
824,Queued-Awaiting Assignment,Robert,2012/03/07 13:19:55.000,High,us,Org line C,E_4,PROD793,USA
824,Accepted-In Progress,Vaibhav,2012/03/12 19:24:36.000,High,us,Org line C,E_4,PROD793,Sweden
824,Completed-Closed,Vaibhav,2012/03/19 09:54:09.000,High,us,Org line C,E_4,PROD793,Sweden
1322,Accepted-In Progress,Danny,2012/04/04 10:19:31.000,High,nl,Org line V7n,,PROD542,Netherlands
1322,Completed-Closed,Danny,2012/04/06 10:03:36.000,High,nl,Org line V7n,,PROD542,Netherlands
1196,Accepted-In Progress,Mahesh,2012/03/08 11:24:21.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Queued-Awaiting Assignment,Mahesh,2012/03/08 11:27:40.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-In Progress,Radha,2012/03/16 09:43:42.000,Medium,in,Org line C,E_8,PROD62,Sweden
1196,Accepted-Assigned,MV,2012/03/16 09:44:21.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-Assigned,Nagaraj,2012/03/20 08:39:14.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-Wait,Nagaraj,2012/03/22 11:22:21.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-Assigned,MV,2012/03/28 12:57:44.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Queued-Awaiting Assignment,Mahesh,2012/03/28 13:00:12.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-In Progress,MV,2012/03/28 13:00:15.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-Assigned,Mahesh,2012/03/28 13:01:03.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-In Progress,MV,2012/03/28 13:01:07.000,Medium,in,Org line C,E_8,PROD62,INDIA
1196,Accepted-Assigned,G�ran,2012/03/28 13:03:51.000,Medium,in,Org line C,E_8,PROD62,Sweden
1196,Queued-Awaiting Assignment,Pratap,2012/05/09 14:22:38.000,Medium,in,Org line C,E_4,PROD62,INDIA
1196,Accepted-In Progress,Pratap,2012/05/09 18:42:40.000,Medium,in,Org line C,E_4,PROD62,INDIA
1196,Accepted-In Progress,Kristoffer,2012/05/10 16:43:41.000,Medium,in,Org line C,E_4,PROD62,Sweden
1196,Completed-Closed,Kristoffer,2012/05/10 16:44:13.000,Medium,in,Org line C,E_4,PROD62,Sweden
1897,Accepted-In Progress,Aneesh V,2012/04/03 12:14:09.000,Medium,in,Org line B,E_10,PROD424,INDIA
1897,Completed-Closed,Aneesh V,2012/04/09 21:28:59.000,Medium,in,Org line B,E_10,PROD424,INDIA
662,Accepted-In Progress,Bj�rn,2011/11/11 15:55:57.000,High,se,Org line C,C_6,PROD802,Sweden
662,Accepted-Wait,Bj�rn,2012/03/05 13:19:28.000,High,se,Org line C,C_6,PROD802,Sweden
662,Completed-Closed,Bj�rn,2012/03/05 13:20:03.000,High,se,Org line C,C_6,PROD802,Sweden
