case,activity,resource,timestamp,Org,Project,Task,Role
Case 281,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/05/01 13:27:27.000,organizational unit 65458,project 147531,UNKNOWN,EMPLOYEE
Case 281,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/05/01 13:28:17.000,organizational unit 65458,project 147531,UNKNOWN,SUPERVISOR
Case 281,Request Payment,SYSTEM,2017/05/02 15:48:35.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED
Case 281,Payment Handled,SYSTEM,2017/05/08 17:31:17.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED
Case 613,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/05 00:08:49.000,organizational unit 65460,project 147531,UNKNOWN,EMPLOYEE
Case 613,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/05 00:09:02.000,organizational unit 65460,project 147531,UNKNOWN,SUPERVISOR
Case 613,Request Payment,SYSTEM,2017/09/11 08:34:47.000,organizational unit 65460,project 147531,UNKNOWN,UNDEFINED
Case 613,Payment Handled,SYSTEM,2017/09/14 17:30:52.000,organizational unit 65460,project 147531,UNKNOWN,UNDEFINED
Case 47,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/01/29 12:54:00.000,organizational unit 65458,project 503,UNKNOWN,EMPLOYEE
Case 47,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/01/29 12:58:26.000,organizational unit 65458,project 503,UNKNOWN,SUPERVISOR
Case 47,Request Payment,SYSTEM,2017/01/30 10:36:14.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED
Case 47,Payment Handled,SYSTEM,2017/02/02 17:32:54.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED
Case 6038,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/19 12:13:00.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
Case 6038,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/11/19 12:15:02.000,organizational unit 65469,UNKNOWN,UNKNOWN,ADMINISTRATION
Case 6038,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/11/19 14:06:56.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
Case 5536,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/22 09:44:09.000,organizational unit 65461,project 503,UNKNOWN,EMPLOYEE
Case 5536,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/22 09:44:11.000,organizational unit 65461,project 503,UNKNOWN,ADMINISTRATION
Case 5536,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/24 08:18:28.000,organizational unit 65461,project 503,UNKNOWN,SUPERVISOR
Case 5536,Request Payment,SYSTEM,2018/10/25 10:21:08.000,organizational unit 65461,project 503,UNKNOWN,UNDEFINED
Case 5536,Payment Handled,SYSTEM,2018/10/29 17:31:16.000,organizational unit 65461,project 503,UNKNOWN,UNDEFINED
Case 6523,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/10 17:42:42.000,organizational unit 65461,project 147620,UNKNOWN,EMPLOYEE
Case 6523,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/10 17:42:45.000,organizational unit 65461,project 147620,UNKNOWN,ADMINISTRATION
Case 6523,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/18 10:11:40.000,organizational unit 65461,project 147620,UNKNOWN,SUPERVISOR
Case 6523,Request Payment,SYSTEM,2018/12/19 13:30:55.000,organizational unit 65461,project 147620,UNKNOWN,UNDEFINED
Case 6523,Payment Handled,SYSTEM,2018/12/20 17:31:30.000,organizational unit 65461,project 147620,UNKNOWN,UNDEFINED
Case 5661,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/26 17:56:22.000,organizational unit 65458,project 148309,UNKNOWN,EMPLOYEE
Case 5661,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/26 17:56:24.000,organizational unit 65458,project 148309,UNKNOWN,ADMINISTRATION
Case 5661,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/30 15:19:55.000,organizational unit 65458,project 148309,UNKNOWN,BUDGET OWNER
Case 5661,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/30 15:23:51.000,organizational unit 65458,project 148309,UNKNOWN,SUPERVISOR
Case 5661,Request Payment,SYSTEM,2018/11/04 20:05:57.000,organizational unit 65458,project 148309,UNKNOWN,UNDEFINED
Case 5661,Payment Handled,SYSTEM,2018/11/08 17:31:15.000,organizational unit 65458,project 148309,UNKNOWN,UNDEFINED
Case 599,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/08/30 08:57:03.000,organizational unit 65463,project 148052,UNKNOWN,EMPLOYEE
Case 599,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/08/30 08:57:06.000,organizational unit 65463,project 148052,UNKNOWN,SUPERVISOR
Case 599,Request Payment,SYSTEM,2017/08/31 17:11:57.000,organizational unit 65463,project 148052,UNKNOWN,UNDEFINED
Case 599,Payment Handled,SYSTEM,2017/09/04 17:31:24.000,organizational unit 65463,project 148052,UNKNOWN,UNDEFINED
Case 1711,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/07 16:28:57.000,organizational unit 65458,project 503,UNKNOWN,EMPLOYEE
Case 1711,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/07 16:29:01.000,organizational unit 65458,project 503,UNKNOWN,ADMINISTRATION
Case 1711,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/08 14:16:45.000,organizational unit 65458,project 503,UNKNOWN,SUPERVISOR
Case 1711,Request Payment,SYSTEM,2018/02/09 09:53:35.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED
Case 1711,Payment Handled,SYSTEM,2018/02/12 17:31:22.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED
Case 4550,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/23 09:59:19.000,organizational unit 65456,project 503,UNKNOWN,EMPLOYEE
Case 4550,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/23 09:59:47.000,organizational unit 65456,project 503,UNKNOWN,ADMINISTRATION
Case 4550,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/30 09:29:53.000,organizational unit 65456,project 503,UNKNOWN,SUPERVISOR
Case 4550,Request Payment,SYSTEM,2018/08/30 16:32:53.000,organizational unit 65456,project 503,UNKNOWN,UNDEFINED
Case 4550,Payment Handled,SYSTEM,2018/09/03 17:31:14.000,organizational unit 65456,project 503,UNKNOWN,UNDEFINED
Case 6454,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/06 21:51:53.000,organizational unit 65482,UNKNOWN,UNKNOWN,EMPLOYEE
Case 6454,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/12/06 22:00:06.000,organizational unit 65482,UNKNOWN,UNKNOWN,ADMINISTRATION
Case 6454,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/12/09 17:07:13.000,organizational unit 65482,UNKNOWN,UNKNOWN,EMPLOYEE
Case 5975,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/14 18:10:04.000,organizational unit 65475,project 147556,task 28555,EMPLOYEE
Case 5975,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/14 18:10:32.000,organizational unit 65475,project 147556,task 28555,ADMINISTRATION
Case 5975,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/15 13:57:37.000,organizational unit 65475,project 147556,task 28555,SUPERVISOR
Case 5975,Request Payment,SYSTEM,2018/11/19 14:47:10.000,organizational unit 65475,project 147556,task 28555,UNDEFINED
Case 5975,Payment Handled,SYSTEM,2018/11/22 17:31:34.000,organizational unit 65475,project 147556,task 28555,UNDEFINED
Case 4364,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/30 13:24:03.000,organizational unit 65458,project 503,task 162000,EMPLOYEE
Case 4364,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/07/30 13:27:41.000,organizational unit 65458,project 503,task 162000,ADMINISTRATION
Case 4364,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/30 15:57:27.000,organizational unit 65458,project 503,task 162000,SUPERVISOR
Case 4364,Request Payment,SYSTEM,2018/08/02 12:31:06.000,organizational unit 65458,project 503,task 162000,UNDEFINED
Case 4364,Payment Handled,SYSTEM,2018/08/06 17:31:07.000,organizational unit 65458,project 503,task 162000,UNDEFINED
Case 2416,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/23 12:28:44.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
Case 2416,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/03/23 12:29:34.000,organizational unit 65469,UNKNOWN,UNKNOWN,ADMINISTRATION
Case 2416,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/03/23 13:20:28.000,organizational unit 65469,UNKNOWN,UNKNOWN,EMPLOYEE
Case 5300,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/08 11:50:13.000,organizational unit 65456,project 147556,UNKNOWN,EMPLOYEE
Case 5300,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/08 11:50:16.000,organizational unit 65456,project 147556,UNKNOWN,ADMINISTRATION
Case 5300,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/08 12:47:05.000,organizational unit 65456,project 147556,UNKNOWN,SUPERVISOR
Case 5300,Request Payment,SYSTEM,2018/10/09 13:32:21.000,organizational unit 65456,project 147556,UNKNOWN,UNDEFINED
Case 5300,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65456,project 147556,UNKNOWN,UNDEFINED
Case 2707,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/10 13:53:38.000,organizational unit 65456,project 147546,UNKNOWN,EMPLOYEE
Case 2707,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/10 13:53:51.000,organizational unit 65456,project 147546,UNKNOWN,ADMINISTRATION
Case 2707,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/12 10:10:00.000,organizational unit 65456,project 147546,UNKNOWN,SUPERVISOR
Case 2707,Request Payment,SYSTEM,2018/04/16 13:35:36.000,organizational unit 65456,project 147546,UNKNOWN,UNDEFINED
Case 2707,Payment Handled,SYSTEM,2018/04/19 17:31:32.000,organizational unit 65456,project 147546,UNKNOWN,UNDEFINED
Case 4838,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/11 15:01:44.000,organizational unit 65457,project 147556,task 26753,EMPLOYEE
Case 4838,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/11 16:40:12.000,organizational unit 65457,project 147556,task 26753,ADMINISTRATION
Case 4838,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/09/12 09:21:08.000,organizational unit 65457,project 147556,task 26753,BUDGET OWNER
Case 4838,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/12 16:45:07.000,organizational unit 65457,project 147556,task 26753,SUPERVISOR
Case 4838,Request Payment,SYSTEM,2018/09/13 12:05:53.000,organizational unit 65457,project 147556,task 26753,UNDEFINED
Case 4838,Payment Handled,SYSTEM,2018/09/17 17:31:15.000,organizational unit 65457,project 147556,task 26753,UNDEFINED
Case 625,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/06 15:47:27.000,organizational unit 65463,project 503,task 147830,EMPLOYEE
Case 625,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/06 15:49:27.000,organizational unit 65463,project 503,task 147830,SUPERVISOR
Case 625,Request Payment,SYSTEM,2017/09/08 13:31:56.000,organizational unit 65463,project 503,task 147830,UNDEFINED
Case 625,Payment Handled,SYSTEM,2017/09/14 17:30:52.000,organizational unit 65463,project 503,task 147830,UNDEFINED
Case 5301,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/08 11:51:28.000,organizational unit 65463,project 148216,UNKNOWN,EMPLOYEE
Case 5301,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/08 11:52:18.000,organizational unit 65463,project 148216,UNKNOWN,ADMINISTRATION
Case 5301,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/08 13:38:01.000,organizational unit 65463,project 148216,UNKNOWN,SUPERVISOR
Case 5301,Request Payment,SYSTEM,2018/10/08 21:22:07.000,organizational unit 65463,project 148216,UNKNOWN,UNDEFINED
Case 5301,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65463,project 148216,UNKNOWN,UNDEFINED
Case 6256,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/29 08:45:52.000,organizational unit 65463,project 148681,UNKNOWN,EMPLOYEE
Case 6256,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/29 08:45:54.000,organizational unit 65463,project 148681,UNKNOWN,ADMINISTRATION
Case 6256,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/30 08:59:32.000,organizational unit 65463,project 148681,UNKNOWN,SUPERVISOR
Case 6256,Request Payment,SYSTEM,2018/12/04 07:20:13.000,organizational unit 65463,project 148681,UNKNOWN,UNDEFINED
Case 6256,Payment Handled,SYSTEM,2018/12/06 17:31:34.000,organizational unit 65463,project 148681,UNKNOWN,UNDEFINED
Case 2933,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/25 08:29:02.000,organizational unit 65465,project 147701,UNKNOWN,EMPLOYEE
Case 2933,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/25 08:29:51.000,organizational unit 65465,project 147701,UNKNOWN,ADMINISTRATION
Case 2933,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/04/25 10:27:09.000,organizational unit 65465,project 147701,UNKNOWN,BUDGET OWNER
Case 2933,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/26 07:25:40.000,organizational unit 65465,project 147701,UNKNOWN,SUPERVISOR
Case 2933,Request Payment,SYSTEM,2018/04/26 11:04:07.000,organizational unit 65465,project 147701,UNKNOWN,UNDEFINED
Case 2933,Payment Handled,SYSTEM,2018/04/30 17:31:12.000,organizational unit 65465,project 147701,UNKNOWN,UNDEFINED
Case 6082,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/20 13:33:21.000,organizational unit 65476,project 147556,UNKNOWN,EMPLOYEE
Case 6082,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/20 13:34:53.000,organizational unit 65476,project 147556,UNKNOWN,ADMINISTRATION
Case 6082,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/21 08:26:47.000,organizational unit 65476,project 147556,UNKNOWN,BUDGET OWNER
Case 6082,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/22 11:00:46.000,organizational unit 65476,project 147556,UNKNOWN,SUPERVISOR
Case 6082,Request Payment,SYSTEM,2018/11/22 13:31:41.000,organizational unit 65476,project 147556,UNKNOWN,UNDEFINED
Case 6082,Payment Handled,SYSTEM,2018/11/26 17:31:23.000,organizational unit 65476,project 147556,UNKNOWN,UNDEFINED
Case 6722,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/17 17:20:45.000,organizational unit 65461,project 147843,UNKNOWN,EMPLOYEE
Case 6722,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/17 17:21:08.000,organizational unit 65461,project 147843,UNKNOWN,ADMINISTRATION
Case 6722,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/18 08:36:22.000,organizational unit 65461,project 147843,UNKNOWN,SUPERVISOR
Case 6722,Request Payment,SYSTEM,2018/12/19 12:48:20.000,organizational unit 65461,project 147843,UNKNOWN,UNDEFINED
Case 6722,Payment Handled,SYSTEM,2018/12/20 17:31:30.000,organizational unit 65461,project 147843,UNKNOWN,UNDEFINED
Case 4622,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/28 09:55:38.000,organizational unit 65454,project 147908,UNKNOWN,EMPLOYEE
Case 4622,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/28 09:55:50.000,organizational unit 65454,project 147908,UNKNOWN,ADMINISTRATION
Case 4622,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/28 10:32:51.000,organizational unit 65454,project 147908,UNKNOWN,SUPERVISOR
Case 4622,Request Payment,SYSTEM,2018/08/29 08:17:33.000,organizational unit 65454,project 147908,UNKNOWN,UNDEFINED
Case 4622,Payment Handled,SYSTEM,2018/09/03 17:31:14.000,organizational unit 65454,project 147908,UNKNOWN,UNDEFINED
Case 5716,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/30 11:44:14.000,organizational unit 65468,project 149268,UNKNOWN,EMPLOYEE
Case 5716,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/30 11:44:21.000,organizational unit 65468,project 149268,UNKNOWN,ADMINISTRATION
Case 5716,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/02 11:10:16.000,organizational unit 65468,project 149268,UNKNOWN,BUDGET OWNER
Case 5716,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/09 05:15:20.000,organizational unit 65468,project 149268,UNKNOWN,SUPERVISOR
Case 5716,Request Payment,SYSTEM,2018/11/13 10:11:55.000,organizational unit 65468,project 149268,UNKNOWN,UNDEFINED
Case 5716,Payment Handled,SYSTEM,2018/11/15 17:31:20.000,organizational unit 65468,project 149268,UNKNOWN,UNDEFINED
Case 3651,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/14 16:35:13.000,organizational unit 65458,project 147572,UNKNOWN,EMPLOYEE
Case 3651,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/14 16:35:50.000,organizational unit 65458,project 147572,UNKNOWN,ADMINISTRATION
Case 3651,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/15 11:50:40.000,organizational unit 65458,project 147572,UNKNOWN,SUPERVISOR
Case 3651,Request Payment,SYSTEM,2018/06/18 14:26:33.000,organizational unit 65458,project 147572,UNKNOWN,UNDEFINED
Case 3651,Payment Handled,SYSTEM,2018/06/21 17:31:09.000,organizational unit 65458,project 147572,UNKNOWN,UNDEFINED
Case 3839,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/26 15:33:16.000,organizational unit 65476,project 147546,UNKNOWN,EMPLOYEE
Case 3839,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/26 15:33:18.000,organizational unit 65476,project 147546,UNKNOWN,ADMINISTRATION
Case 3839,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/29 09:16:05.000,organizational unit 65476,project 147546,UNKNOWN,SUPERVISOR
Case 3839,Request Payment,SYSTEM,2018/07/02 08:50:15.000,organizational unit 65476,project 147546,UNKNOWN,UNDEFINED
Case 3839,Payment Handled,SYSTEM,2018/07/05 17:31:35.000,organizational unit 65476,project 147546,UNKNOWN,UNDEFINED
Case 1962,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/24 09:39:30.000,organizational unit 65465,project 147546,task 156279,EMPLOYEE
Case 1962,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/24 09:55:38.000,organizational unit 65465,project 147546,task 156279,ADMINISTRATION
Case 1962,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/26 15:24:25.000,organizational unit 65465,project 147546,task 156279,SUPERVISOR
Case 1962,Request Payment,SYSTEM,2018/03/06 12:07:57.000,organizational unit 65465,project 147546,task 156279,UNDEFINED
Case 1962,Payment Handled,SYSTEM,2018/03/08 17:31:00.000,organizational unit 65465,project 147546,task 156279,UNDEFINED
Case 859,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/11/02 10:14:40.000,organizational unit 65463,project 503,task 25860,EMPLOYEE
Case 859,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/11/02 10:14:52.000,organizational unit 65463,project 503,task 25860,PRE_APPROVER
Case 859,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/11/02 11:04:39.000,organizational unit 65463,project 503,task 25860,SUPERVISOR
Case 859,Request Payment,SYSTEM,2017/11/09 15:26:41.000,organizational unit 65463,project 503,task 25860,UNDEFINED
Case 859,Payment Handled,SYSTEM,2017/11/13 17:30:56.000,organizational unit 65463,project 503,task 25860,UNDEFINED
Case 3753,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/21 14:23:54.000,organizational unit 65462,project 147546,task 159079,EMPLOYEE
Case 3753,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/21 14:24:38.000,organizational unit 65462,project 147546,task 159079,ADMINISTRATION
Case 3753,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/21 16:00:37.000,organizational unit 65462,project 147546,task 159079,SUPERVISOR
Case 3753,Request Payment,SYSTEM,2018/06/24 18:00:38.000,organizational unit 65462,project 147546,task 159079,UNDEFINED
Case 3753,Payment Handled,SYSTEM,2018/06/28 17:31:36.000,organizational unit 65462,project 147546,task 159079,UNDEFINED
Case 6771,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/19 11:43:01.000,organizational unit 65458,project 147546,task 70647,EMPLOYEE
Case 6771,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/19 11:43:08.000,organizational unit 65458,project 147546,task 70647,ADMINISTRATION
Case 6771,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/19 17:37:13.000,organizational unit 65458,project 147546,task 70647,SUPERVISOR
Case 6771,Request Payment,SYSTEM,2019/01/02 10:30:06.000,organizational unit 65458,project 147546,task 70647,UNDEFINED
Case 6771,Payment Handled,SYSTEM,2019/01/03 11:59:16.000,organizational unit 65458,project 147546,task 70647,UNDEFINED
Case 3429,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/01 14:34:02.000,organizational unit 65457,project 151278,task 6280,EMPLOYEE
Case 3429,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/25 13:30:21.000,organizational unit 65457,project 151278,task 6280,ADMINISTRATION
Case 3429,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/26 08:53:40.000,organizational unit 65457,project 151278,task 6280,SUPERVISOR
Case 3429,Request Payment,SYSTEM,2018/06/26 10:12:29.000,organizational unit 65457,project 151278,task 6280,UNDEFINED
Case 3429,Payment Handled,SYSTEM,2018/06/28 17:31:36.000,organizational unit 65457,project 151278,task 6280,UNDEFINED
Case 2070,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/01 16:04:08.000,organizational unit 65458,project 503,task 13775,EMPLOYEE
Case 2070,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/01 16:04:20.000,organizational unit 65458,project 503,task 13775,ADMINISTRATION
Case 2070,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/02 15:32:39.000,organizational unit 65458,project 503,task 13775,SUPERVISOR
Case 2070,Request Payment,SYSTEM,2018/03/02 15:43:29.000,organizational unit 65458,project 503,task 13775,UNDEFINED
Case 2070,Payment Handled,SYSTEM,2018/03/05 17:30:58.000,organizational unit 65458,project 503,task 13775,UNDEFINED
Case 287,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/05/02 13:40:23.000,organizational unit 65458,project 503,UNKNOWN,EMPLOYEE
Case 287,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/05/02 13:40:46.000,organizational unit 65458,project 503,UNKNOWN,PRE_APPROVER
Case 287,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/05/04 09:11:27.000,organizational unit 65458,project 503,UNKNOWN,SUPERVISOR
Case 287,Request Payment,SYSTEM,2017/05/04 14:27:43.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED
Case 287,Payment Handled,SYSTEM,2017/05/08 17:31:17.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED
Case 3248,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/22 15:46:17.000,organizational unit 65456,project 147546,UNKNOWN,EMPLOYEE
Case 3248,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/22 15:46:56.000,organizational unit 65456,project 147546,UNKNOWN,ADMINISTRATION
Case 3248,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/24 09:39:48.000,organizational unit 65456,project 147546,UNKNOWN,SUPERVISOR
