case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5
case-9395,T02 Check confirmation of receipt - complete,Value5,2011/09/19 14:52:23.816,Value1,Value1,Value3,Value11,Value2
case-9395,T06 Determine necessity of stop advice - complete,Value5,2011/09/19 14:54:19.103,Value1,Value1,Value3,Value11,Value1
case-9395,T10 Determine necessity to stop indication - complete,Value5,2011/09/19 14:59:12.713,Value1,Value1,Value3,Value11,Value1
case-9395,T11 Create document X request unlicensed - complete,Value5,2011/09/21 12:38:15.584,Value1,Value1,Value3,Value11,Value1
case-9395,T04 Determine confirmation of receipt - complete,Value5,2011/09/21 12:38:33.934,Value1,Value1,Value3,Value11,Value3
case-9395,T05 Print and send confirmation of receipt - complete,Value2,2011/09/22 14:09:53.320,Value1,Value1,Value3,Value11,Value3
case-9395,T12 Check document X request unlicensed - complete,Value15,2011/09/23 10:12:10.134,Value1,Value1,Value3,Value11,Value2
case-9395,T14 Determine document X request unlicensed - complete,Value5,2011/09/23 10:18:08.982,Value1,Value1,Value3,Value11,Value4
case-9395,T15 Print document X request unlicensed - complete,Value5,2011/09/23 10:18:23.789,Value1,Value1,Value3,Value11,Value5
case-6326,Confirmation of receipt - complete,Value24,2011/03/08 11:45:20.444,Value1,Value1,Value4,Value2,Value3
case-6326,T02 Check confirmation of receipt - complete,Value24,2011/03/08 11:46:13.768,Value1,Value1,Value4,Value2,Value2
case-6326,T04 Determine confirmation of receipt - complete,Value24,2011/03/08 11:46:24.986,Value1,Value1,Value4,Value2,Value4
case-6326,T05 Print and send confirmation of receipt - complete,Value24,2011/03/08 11:46:43.116,Value1,Value1,Value4,Value2,Value5
case-6326,T06 Determine necessity of stop advice - complete,Value24,2011/03/08 11:46:53.439,Value1,Value1,Value4,Value2,Value1
case-6326,T10 Determine necessity to stop indication - complete,Value24,2011/03/08 11:47:06.166,Value1,Value1,Value4,Value2,Value1
case-10352,Confirmation of receipt - complete,Value9,2011/11/14 10:50:37.798,Value1,Value1,Value1,Value10,Value3
case-10352,T02 Check confirmation of receipt - complete,Value9,2011/11/14 10:51:38.023,Value1,Value1,Value1,Value10,Value3
case-10352,T04 Determine confirmation of receipt - complete,Value9,2011/11/14 11:59:27.024,Value1,Value1,Value1,Value10,Value4
case-10352,T05 Print and send confirmation of receipt - complete,Value9,2011/11/14 12:00:15.861,Value1,Value1,Value1,Value10,Value5
case-10352,T06 Determine necessity of stop advice - complete,Value9,2011/11/14 12:00:44.335,Value1,Value1,Value1,Value10,Value1
case-10352,T10 Determine necessity to stop indication - complete,Value9,2011/11/14 12:01:17.656,Value1,Value1,Value1,Value10,Value1
case-4923,Confirmation of receipt - complete,Value11,2011/01/17 11:50:08.510,Value3,Value1,Value4,Value13,Value3
case-4923,T02 Check confirmation of receipt - complete,Value11,2011/01/17 11:50:56.307,Value3,Value1,Value4,Value13,Value3
case-4923,T04 Determine confirmation of receipt - complete,Value2,2011/01/17 12:08:19.897,Value3,Value1,Value4,Value13,Value4
case-4923,T06 Determine necessity of stop advice - complete,Value11,2011/01/18 09:48:46.250,Value3,Value1,Value4,Value13,Value1
case-4923,T07-1 Draft intern advice aspect 1 - complete,Value11,2011/01/18 09:49:33.297,Value3,Value1,Value4,Value13,Value3
case-4923,T06 Determine necessity of stop advice - complete,Value11,2011/01/18 09:49:51.532,Value3,Value1,Value4,Value13,Value1
case-4923,T10 Determine necessity to stop indication - complete,Value11,2011/01/18 09:50:05.744,Value3,Value1,Value4,Value13,Value1
case-4923,T05 Print and send confirmation of receipt - complete,Value12,2011/01/18 10:09:36.866,Value3,Value1,Value4,Value13,Value5
case-8856,Confirmation of receipt - complete,Value15,2011/08/04 12:03:43.336,Value1,Value1,Value3,Value11,Value3
case-8856,T02 Check confirmation of receipt - complete,Value15,2011/08/04 12:46:28.880,Value1,Value1,Value3,Value11,Value2
case-8856,T04 Determine confirmation of receipt - complete,Value15,2011/08/04 12:47:05.201,Value1,Value1,Value3,Value11,Value4
case-8856,T05 Print and send confirmation of receipt - complete,Value15,2011/08/04 12:48:05.459,Value1,Value1,Value3,Value11,Value5
case-8856,T06 Determine necessity of stop advice - complete,Value15,2011/08/04 12:48:34.861,Value1,Value1,Value3,Value11,Value1
case-8856,T10 Determine necessity to stop indication - complete,Value15,2011/08/04 12:49:44.542,Value1,Value1,Value3,Value11,Value1
case-9376,Confirmation of receipt - complete,Value24,2011/09/12 15:53:00.121,Value1,Value1,Value2,Value2,Value3
case-9376,T02 Check confirmation of receipt - complete,Value24,2011/09/12 15:53:21.512,Value1,Value1,Value2,Value2,Value2
case-9376,T04 Determine confirmation of receipt - complete,Value24,2011/09/12 15:53:40.486,Value1,Value1,Value2,Value2,Value4
case-9376,T05 Print and send confirmation of receipt - complete,Value24,2011/09/12 15:54:11.305,Value1,Value1,Value2,Value2,Value5
case-9376,T06 Determine necessity of stop advice - complete,Value24,2011/09/12 15:54:32.202,Value1,Value1,Value2,Value2,Value1
case-9376,T10 Determine necessity to stop indication - complete,Value24,2011/09/12 15:54:52.193,Value1,Value1,Value2,Value2,Value1
case-9389,Confirmation of receipt - complete,Value13,2011/09/19 10:16:45.370,Value1,Value1,Value2,Value12,Value3
case-9389,T02 Check confirmation of receipt - complete,Value13,2011/09/19 10:17:32.195,Value1,Value1,Value2,Value12,Value2
case-9389,T04 Determine confirmation of receipt - complete,Value13,2011/09/19 10:18:06.933,Value1,Value1,Value2,Value12,Value4
case-9389,T06 Determine necessity of stop advice - complete,Value13,2011/09/19 10:18:43.791,Value1,Value1,Value2,Value12,Value1
case-9389,T10 Determine necessity to stop indication - complete,Value13,2011/09/19 10:19:07.754,Value1,Value1,Value2,Value12,Value1
case-9389,T05 Print and send confirmation of receipt - complete,Value13,2011/09/19 11:12:23.513,Value1,Value1,Value2,Value12,Value5
case-8774,Confirmation of receipt - complete,Value4,2011/07/26 14:53:09.884,Value1,Value1,Value2,Value4,Value3
case-9767,Confirmation of receipt - complete,Value8,2011/09/30 14:30:00.552,Value1,Value1,Value2,Value7,Value3
case-9767,T02 Check confirmation of receipt - complete,Value8,2011/09/30 14:30:50.395,Value1,Value1,Value2,Value7,Value3
case-9767,T04 Determine confirmation of receipt - complete,Value8,2011/09/30 14:31:20.426,Value1,Value1,Value2,Value7,Value3
case-9767,T05 Print and send confirmation of receipt - complete,Value8,2011/09/30 14:31:52.484,Value1,Value1,Value2,Value7,Value3
case-9767,T06 Determine necessity of stop advice - complete,Value8,2011/09/30 14:32:17.902,Value1,Value1,Value2,Value7,Value1
case-9767,T10 Determine necessity to stop indication - complete,Value8,2011/09/30 14:32:38.695,Value1,Value1,Value2,Value7,Value1
case-5942,Confirmation of receipt - complete,Value26,2011/02/14 16:20:31.973,Value1,Value1,Value4,Value22,Value3
case-5942,T06 Determine necessity of stop advice - complete,Value26,2011/02/14 16:21:20.653,Value1,Value1,Value4,Value22,Value1
case-5942,T10 Determine necessity to stop indication - complete,Value26,2011/02/14 16:21:36.335,Value1,Value1,Value4,Value22,Value1
case-5942,T02 Check confirmation of receipt - complete,Value23,2011/02/21 11:44:26.314,Value1,Value1,Value4,Value22,Value3
case-5942,T04 Determine confirmation of receipt - complete,Value2,2011/02/21 15:42:33.606,Value1,Value1,Value4,Value22,Value4
case-5942,T05 Print and send confirmation of receipt - complete,Value12,2011/02/23 11:06:33.728,Value1,Value1,Value4,Value22,Value5
case-6790,Confirmation of receipt - complete,Value15,2011/04/21 10:01:24.870,Value1,Value1,Value4,Value3,Value3
case-6790,T02 Check confirmation of receipt - complete,Value15,2011/04/21 10:01:40.719,Value1,Value1,Value4,Value3,Value2
case-6790,T04 Determine confirmation of receipt - complete,Value15,2011/04/21 10:01:54.551,Value1,Value1,Value4,Value3,Value4
case-6790,T05 Print and send confirmation of receipt - complete,Value15,2011/04/21 10:02:05.178,Value1,Value1,Value4,Value3,Value5
case-6790,T06 Determine necessity of stop advice - complete,Value15,2011/04/21 10:02:23.352,Value1,Value1,Value4,Value3,Value1
case-6790,T10 Determine necessity to stop indication - complete,Value15,2011/05/10 13:51:58.116,Value1,Value1,Value4,Value3,Value1
case-6790,T11 Create document X request unlicensed - complete,Value15,2011/05/10 14:53:49.695,Value1,Value1,Value4,Value3,Value1
case-6790,T12 Check document X request unlicensed - complete,Value15,2011/05/10 14:54:07.289,Value1,Value1,Value4,Value3,Value2
case-6790,T14 Determine document X request unlicensed - complete,Value31,2011/05/11 16:02:19.076,Value1,Value1,Value4,Value3,Value3
case-6790,T15 Print document X request unlicensed - complete,Value15,2011/05/12 08:59:34.067,Value1,Value1,Value4,Value3,Value5
case-6757,Confirmation of receipt - complete,Value19,2011/04/08 09:00:47.160,Value4,Value1,Value4,Value18,Value3
case-6757,T02 Check confirmation of receipt - complete,Value19,2011/04/08 09:01:23.881,Value4,Value1,Value4,Value18,Value2
case-6757,T04 Determine confirmation of receipt - complete,Value19,2011/04/08 09:01:44.647,Value4,Value1,Value4,Value18,Value4
case-6757,T05 Print and send confirmation of receipt - complete,Value19,2011/04/08 09:02:09.291,Value4,Value1,Value4,Value18,Value5
case-6757,T06 Determine necessity of stop advice - complete,Value19,2011/04/08 09:02:59.214,Value4,Value1,Value4,Value18,Value1
case-6757,T10 Determine necessity to stop indication - complete,Value19,2011/04/08 09:03:25.913,Value4,Value1,Value4,Value18,Value1
case-4027,Confirmation of receipt - complete,Value30,2010/11/02 07:32:35.409,Value3,Value1,Value4,Value24,Value1
case-4027,T06 Determine necessity of stop advice - complete,Value30,2010/11/02 07:33:03.163,Value3,Value1,Value4,Value24,Value1
case-4027,T10 Determine necessity to stop indication - complete,Value30,2010/11/02 07:33:46.468,Value3,Value1,Value4,Value24,Value1
case-4027,T02 Check confirmation of receipt - complete,Value31,2010/11/04 10:16:16.748,Value3,Value1,Value4,Value24,Value3
case-4027,T04 Determine confirmation of receipt - complete,Value30,2010/11/04 11:34:39.983,Value3,Value1,Value4,Value24,Value3
case-4027,T05 Print and send confirmation of receipt - complete,Value9,2010/11/04 17:04:13.689,Value3,Value1,Value4,Value24,Value5
case-8551,Confirmation of receipt - complete,Value21,2011/07/13 11:12:19.592,Value1,Value1,Value2,Value13,Value1
case-8551,T02 Check confirmation of receipt - complete,Value11,2011/08/09 11:29:27.408,Value1,Value1,Value2,Value13,Value3
case-8551,T04 Determine confirmation of receipt - complete,Value11,2011/08/09 11:29:49.894,Value1,Value1,Value2,Value13,Value4
case-8551,T05 Print and send confirmation of receipt - complete,Value11,2011/08/09 11:30:08.340,Value1,Value1,Value2,Value13,Value5
case-8551,T06 Determine necessity of stop advice - complete,Value11,2011/08/09 11:32:01.558,Value1,Value1,Value2,Value13,Value1
case-8551,T10 Determine necessity to stop indication - complete,Value11,2011/08/09 11:33:49.690,Value1,Value1,Value2,Value13,Value1
case-10854,Confirmation of receipt - complete,Value9,2012/01/06 16:57:48.131,Value1,Value1,Value1,Value10,Value3
case-10854,T02 Check confirmation of receipt - complete,Value9,2012/01/06 16:58:14.608,Value1,Value1,Value1,Value10,Value2
case-10854,T04 Determine confirmation of receipt - complete,Value9,2012/01/06 16:58:37.766,Value1,Value1,Value1,Value10,Value4
case-10854,T05 Print and send confirmation of receipt - complete,Value9,2012/01/06 16:59:02.444,Value1,Value1,Value1,Value10,Value5
case-10854,T06 Determine necessity of stop advice - complete,Value9,2012/01/09 09:10:58.906,Value1,Value1,Value1,Value10,Value1
case-10854,T10 Determine necessity to stop indication - complete,Value9,2012/01/09 09:11:58.715,Value1,Value1,Value1,Value10,Value1
case-10339,Confirmation of receipt - complete,Value6,2011/11/14 13:52:08.621,Value1,Value1,Value2,Value4,Value3
case-10339,T02 Check confirmation of receipt - complete,Value6,2011/11/14 13:55:13.723,Value1,Value1,Value2,Value4,Value2
case-10339,T04 Determine confirmation of receipt - complete,Value6,2011/11/14 13:55:44.472,Value1,Value1,Value2,Value4,Value4
case-10339,T05 Print and send confirmation of receipt - complete,Value6,2011/11/14 13:56:07.190,Value1,Value1,Value2,Value4,Value5
case-10339,T06 Determine necessity of stop advice - complete,Value6,2011/11/14 13:57:03.737,Value1,Value1,Value2,Value4,Value1
case-10339,T10 Determine necessity to stop indication - complete,Value6,2011/11/14 13:57:28.105,Value1,Value1,Value2,Value4,Value1
case-5235,Confirmation of receipt - complete,Value42,2011/01/20 14:59:06.147,Value1,Value1,Value4,Value29,Value3
case-5235,T06 Determine necessity of stop advice - complete,Value42,2011/01/20 15:03:04.970,Value1,Value1,Value4,Value29,Value1
case-5235,T07-5 Draft intern advice aspect 5 - complete,Value42,2011/01/20 15:03:49.691,Value1,Value1,Value4,Value29,Value1
case-5235,T06 Determine necessity of stop advice - complete,Value42,2011/01/20 15:04:34.320,Value1,Value1,Value4,Value29,Value1
case-5235,T10 Determine necessity to stop indication - complete,Value42,2011/01/20 15:05:29.600,Value1,Value1,Value4,Value29,Value1
case-5235,T02 Check confirmation of receipt - complete,Value36,2011/01/25 10:06:48.377,Value1,Value1,Value4,Value29,Value3
case-5235,T04 Determine confirmation of receipt - complete,Value31,2011/01/26 13:13:15.164,Value1,Value1,Value4,Value29,Value3
case-5235,T05 Print and send confirmation of receipt - complete,Value12,2011/02/17 14:45:27.116,Value1,Value1,Value4,Value29,Value3
case-4592,Confirmation of receipt - complete,Value29,2010/12/14 10:02:42.366,Value1,Value1,Value4,Value24,Value3
case-4592,T06 Determine necessity of stop advice - complete,Value29,2010/12/14 10:03:43.130,Value1,Value1,Value4,Value24,Value1
case-4592,T10 Determine necessity to stop indication - complete,Value29,2010/12/14 10:04:53.418,Value1,Value1,Value4,Value24,Value1
case-4592,T16 Report reasons to hold request - complete,Value29,2010/12/14 10:08:02.373,Value1,Value1,Value4,Value24,Value1
case-4592,T17 Check report Y to stop indication - complete,Value29,2010/12/14 10:09:30.738,Value1,Value1,Value4,Value24,Value2
case-4592,T19 Determine report Y to stop indication - complete,Value29,2010/12/14 10:09:44.859,Value1,Value1,Value4,Value24,Value4
case-4592,T20 Print report Y to stop indication - complete,Value29,2010/12/14 10:10:06.033,Value1,Value1,Value4,Value24,Value5
case-4592,T02 Check confirmation of receipt - complete,Value31,2010/12/16 09:01:32.454,Value1,Value1,Value4,Value24,Value3
case-4592,T03 Adjust confirmation of receipt - complete,Value29,2010/12/16 10:46:30.287,Value1,Value1,Value4,Value24,Value1
case-4592,T02 Check confirmation of receipt - complete,Value29,2010/12/16 10:47:06.958,Value1,Value1,Value4,Value24,Value2
case-4592,T04 Determine confirmation of receipt - complete,Value29,2010/12/16 10:47:46.773,Value1,Value1,Value4,Value24,Value4
case-4592,T05 Print and send confirmation of receipt - complete,Value29,2010/12/16 10:48:20.867,Value1,Value1,Value4,Value24,Value5
case-10838,Confirmation of receipt - complete,Value24,2012/01/03 12:51:49.190,Value1,Value1,Value2,Value2,Value3
case-10838,T02 Check confirmation of receipt - complete,Value24,2012/01/03 12:52:18.360,Value1,Value1,Value2,Value2,Value2
case-10838,T04 Determine confirmation of receipt - complete,Value24,2012/01/03 12:53:19.645,Value1,Value1,Value2,Value2,Value4
case-10838,T05 Print and send confirmation of receipt - complete,Value24,2012/01/03 12:53:44.316,Value1,Value1,Value2,Value2,Value5
case-10838,T06 Determine necessity of stop advice - complete,Value24,2012/01/04 08:57:57.196,Value1,Value1,Value2,Value2,Value1
case-10838,T10 Determine necessity to stop indication - complete,Value24,2012/01/04 08:58:41.444,Value1,Value1,Value2,Value2,Value1
case-9890,Confirmation of receipt - complete,Value5,2011/10/10 10:51:30.841,Value1,Value1,Value3,Value3,Value3
case-9890,T02 Check confirmation of receipt - complete,Value5,2011/10/10 10:51:53.044,Value1,Value1,Value3,Value3,Value2
case-9890,T04 Determine confirmation of receipt - complete,Value5,2011/10/10 10:52:13.396,Value1,Value1,Value3,Value3,Value4
case-9890,T05 Print and send confirmation of receipt - complete,Value5,2011/10/10 10:52:27.424,Value1,Value1,Value3,Value3,Value5
case-9890,T06 Determine necessity of stop advice - complete,Value5,2011/10/10 10:52:43.675,Value1,Value1,Value3,Value3,Value1
case-9890,T10 Determine necessity to stop indication - complete,Value5,2011/10/10 10:53:04.545,Value1,Value1,Value3,Value3,Value1
case-4827,Confirmation of receipt - complete,Value2,2010/12/17 10:25:16.565,Value1,Value1,Value4,Value27,Value1
case-4827,T02 Check confirmation of receipt - complete,Value2,2010/12/17 10:33:06.722,Value1,Value1,Value4,Value27,Value2
case-4827,T04 Determine confirmation of receipt - complete,Value2,2010/12/17 10:40:11.444,Value1,Value1,Value4,Value27,Value4
case-4827,T06 Determine necessity of stop advice - complete,Value29,2010/12/27 12:45:58.852,Value1,Value1,Value4,Value27,Value3
case-4827,T10 Determine necessity to stop indication - complete,Value29,2010/12/27 12:47:34.547,Value1,Value1,Value4,Value27,Value1
case-4827,T05 Print and send confirmation of receipt - complete,Value29,2010/12/30 08:27:28.493,Value1,Value1,Value4,Value27,Value5
case-4827,T11 Create document X request unlicensed - complete,Value4,2011/01/14 15:56:55.509,Value1,Value1,Value4,Value27,Value1
case-8815,Confirmation of receipt - complete,Value13,2011/08/03 09:03:38.213,Value1,Value1,Value2,Value12,Value3
case-8815,T02 Check confirmation of receipt - complete,Value13,2011/08/03 09:16:50.773,Value1,Value1,Value2,Value12,Value2
case-8815,T04 Determine confirmation of receipt - complete,Value13,2011/08/03 09:17:11.394,Value1,Value1,Value2,Value12,Value4
case-8815,T05 Print and send confirmation of receipt - complete,Value13,2011/08/03 09:17:38.771,Value1,Value1,Value2,Value12,Value5
case-8815,T06 Determine necessity of stop advice - complete,Value13,2011/08/03 09:17:57.264,Value1,Value1,Value2,Value12,Value1
case-8815,T10 Determine necessity to stop indication - complete,Value13,2011/08/03 09:18:37.509,Value1,Value1,Value2,Value12,Value1
case-4899,Confirmation of receipt - complete,Value29,2010/12/23 17:07:44.891,Value1,Value1,Value4,Value24,Value3
case-4899,T02 Check confirmation of receipt - complete,Value31,2010/12/24 11:34:58.337,Value1,Value1,Value4,Value24,Value3
case-4899,T04 Determine confirmation of receipt - complete,Value2,2010/12/24 12:00:23.682,Value1,Value1,Value4,Value24,Value4
case-4899,T06 Determine necessity of stop advice - complete,Value29,2010/12/24 15:43:11.974,Value1,Value1,Value4,Value24,Value1
case-4899,T10 Determine necessity to stop indication - complete,Value29,2010/12/24 15:45:07.747,Value1,Value1,Value4,Value24,Value1
case-4899,T05 Print and send confirmation of receipt - complete,Value30,2010/12/29 11:24:54.895,Value1,Value1,Value4,Value24,Value5
case-10072,Confirmation of receipt - complete,Value11,2011/10/31 11:09:14.275,Value1,Value1,Value4,Value9,Value3
case-10072,T02 Check confirmation of receipt - complete,Value11,2011/10/31 11:10:03.929,Value1,Value1,Value4,Value9,Value2
case-10072,T04 Determine confirmation of receipt - complete,Value11,2011/10/31 11:10:37.260,Value1,Value1,Value4,Value9,Value4
case-10072,T05 Print and send confirmation of receipt - complete,Value11,2011/10/31 11:10:54.423,Value1,Value1,Value4,Value9,Value5
case-10072,T06 Determine necessity of stop advice - complete,Value11,2011/10/31 11:36:38.174,Value1,Value1,Value4,Value9,Value1
case-10072,T10 Determine necessity to stop indication - complete,Value11,2011/10/31 11:37:11.319,Value1,Value1,Value4,Value9,Value1
case-8921,Confirmation of receipt - complete,Value24,2011/08/09 12:38:23.664,Value1,Value1,Value2,Value2,Value3
case-8921,T02 Check confirmation of receipt - complete,Value24,2011/08/09 12:38:53.023,Value1,Value1,Value2,Value2,Value2
case-8921,T04 Determine confirmation of receipt - complete,Value24,2011/08/09 12:39:17.208,Value1,Value1,Value2,Value2,Value4
case-8921,T05 Print and send confirmation of receipt - complete,Value24,2011/08/09 12:39:35.544,Value1,Value1,Value2,Value2,Value5
case-8921,T06 Determine necessity of stop advice - complete,Value24,2011/08/09 12:39:51.234,Value1,Value1,Value2,Value2,Value1
case-8921,T10 Determine necessity to stop indication - complete,Value24,2011/08/09 12:40:09.569,Value1,Value1,Value2,Value2,Value1
case-8921,T11 Create document X request unlicensed - complete,Value24,2011/08/09 14:31:12.429,Value1,Value1,Value2,Value2,Value1
case-8921,T12 Check document X request unlicensed - complete,Value24,2011/08/09 14:31:33.293,Value1,Value1,Value2,Value2,Value2
case-8921,T14 Determine document X request unlicensed - complete,Value24,2011/08/09 14:32:00.893,Value1,Value1,Value2,Value2,Value4
case-8921,T15 Print document X request unlicensed - complete,Value24,2011/08/09 14:32:23.487,Value1,Value1,Value2,Value2,Value5
case-4101,Confirmation of receipt - complete,Value13,2010/11/09 09:38:24.169,Value1,Value1,Value4,Value12,Value1
case-4101,T06 Determine necessity of stop advice - complete,Value13,2010/11/09 09:39:15.034,Value1,Value1,Value4,Value12,Value1
case-4101,T10 Determine necessity to stop indication - complete,Value13,2010/11/09 09:43:28.490,Value1,Value1,Value4,Value12,Value1
case-4101,T02 Check confirmation of receipt - complete,Value23,2010/11/09 14:24:44.350,Value1,Value1,Value4,Value12,Value3
case-4101,T04 Determine confirmation of receipt - complete,Value2,2010/11/12 14:54:10.595,Value1,Value1,Value4,Value12,Value4
case-4101,T05 Print and send confirmation of receipt - complete,Value12,2010/11/16 10:23:37.090,Value1,Value1,Value4,Value12,Value5
case-5406,Confirmation of receipt - complete,Value15,2011/01/27 14:34:17.431,Value2,Value1,Value4,Value24,Value3
case-5406,T02 Check confirmation of receipt - complete,Value15,2011/01/27 14:34:41.072,Value2,Value1,Value4,Value24,Value2
case-5406,T06 Determine necessity of stop advice - complete,Value15,2011/01/27 14:44:42.382,Value2,Value1,Value4,Value24,Value1
case-5406,T10 Determine necessity to stop indication - complete,Value15,2011/01/27 14:47:13.317,Value2,Value1,Value4,Value24,Value1
case-5406,T04 Determine confirmation of receipt - complete,Value29,2011/02/03 11:10:54.978,Value2,Value1,Value4,Value24,Value3
case-5406,T05 Print and send confirmation of receipt - complete,Value29,2011/02/03 11:11:24.300,Value2,Value1,Value4,Value24,Value5
case-7108,Confirmation of receipt - complete,Value19,2011/05/09 10:18:51.421,Value1,Value1,Value4,Value18,Value3
case-7108,T02 Check confirmation of receipt - complete,Value19,2011/05/09 10:19:15.536,Value1,Value1,Value4,Value18,Value2
case-7108,T04 Determine confirmation of receipt - complete,Value19,2011/05/09 10:19:33.719,Value1,Value1,Value4,Value18,Value4
case-7108,T05 Print and send confirmation of receipt - complete,Value19,2011/05/09 10:19:53.297,Value1,Value1,Value4,Value18,Value5
case-7108,T06 Determine necessity of stop advice - complete,Value19,2011/05/09 12:11:03.404,Value1,Value1,Value4,Value18,Value1
case-7108,T10 Determine necessity to stop indication - complete,Value19,2011/05/09 12:11:22.902,Value1,Value1,Value4,Value18,Value1
case-7760,Confirmation of receipt - complete,Value30,2011/05/30 12:03:04.514,Value1,Value1,Value4,Value11,Value1
case-7760,T06 Determine necessity of stop advice - complete,Value30,2011/05/30 12:06:59.856,Value1,Value1,Value4,Value11,Value1
case-7760,T10 Determine necessity to stop indication - complete,Value30,2011/05/30 12:09:50.404,Value1,Value1,Value4,Value11,Value1
case-7760,T02 Check confirmation of receipt - complete,Value30,2011/06/01 11:01:39.703,Value1,Value1,Value4,Value11,Value3
case-7760,T04 Determine confirmation of receipt - complete,Value30,2011/06/01 11:01:52.677,Value1,Value1,Value4,Value11,Value4
case-7760,T05 Print and send confirmation of receipt - complete,Value30,2011/06/01 11:02:03.590,Value1,Value1,Value4,Value11,Value5
case-5959,Confirmation of receipt - complete,Value36,2011/02/24 13:29:42.415,Value1,Value1,Value4,Value19,Value3
case-5959,T02 Check confirmation of receipt - complete,Value23,2011/03/07 13:34:50.191,Value1,Value1,Value4,Value19,Value3
